time,x,Density,Sulfur
25.5,30,880,1.2
25.5,35,880,1.2
25.5,40,880,1.2
25.5,45,880,1.2
25.5,50,880,1.2
25.5,55,880,1.2
25.5,60,880,1.2
25.5,65,880,1.2
25.5,70,880,1.2
25.5,75,880,1.2
25.5,80,880,1.2
25.5,85,880,1.2
25.5,90,880,1.2
25.5,95,880,1.2
25.5,100,880,1.2
26,0,880,1.2
26,5,880,1.2
26,10,880,1.2
26,15,880,1.2
26,20,880,1.2
26,25,880,1.2
26,30,880,1.2
26,35,880,1.2
26,40,880,1.2
26,45,880,1.2
26,50,880,1.2
26,55,880,1.2
26,60,880,1.2
26,65,880,1.2
26,70,880,1.2
26,75,880,1.2
26,80,880,1.2
26,85,880,1.2
26,90,880,1.2
26,95,880,1.2
26,100,880,1.2
26.5,0,880,1.2
26.5,5,880,1.2
26.5,10,880,1.2
26.5,15,880,1.2
26.5,20,880,1.2
26.5,25,880,1.2
26.5,30,880,1.2
26.5,35,880,1.2
26.5,40,880,1.2
26.5,45,880,1.2
26.5,50,880,1.2
26.5,55,880,1.2
26.5,60,880,1.2
26.5,65,880,1.2
26.5,70,880,1.2
26.5,75,880,1.2
26.5,80,880,1.2
26.5,85,880,1.2
26.5,90,880,1.2
26.5,95,880,1.2
26.5,100,880,1.2
27,0,880,1.2
27,5,880,1.2
27,10,880,1.2
27,15,880,1.2
27,20,880,1.2
27,25,880,1.2
27,30,880,1.2
27,35,880,1.2
27,40,880,1.2
27,45,880,1.2
27,50,880,1.2
27,55,880,1.2
27,60,880,1.2
27,65,880,1.2
27,70,880,1.2
27,75,880,1.2
27,80,880,1.2
27,85,880,1.2
27,90,880,1.2
27,95,880,1.2
27,100,880,1.2
27.5,0,880,1.2
27.5,5,880,1.2
27.5,10,880,1.2
27.5,15,880,1.2
27.5,20,880,1.2
27.5,25,880,1.2
27.5,30,880,1.2
27.5,35,880,1.2
27.5,40,880,1.2
27.5,45,880,1.2
27.5,50,880,1.2
27.5,55,880,1.2
27.5,60,880,1.2
27.5,65,880,1.2
27.5,70,880,1.2
27.5,75,880,1.2
27.5,80,880,1.2
27.5,85,880,1.2
27.5,90,880,1.2
27.5,95,880,1.2
27.5,100,880,1.2
28,0,880,1.2
28,5,880,1.2
28,10,880,1.2
28,15,880,1.2
28,20,880,1.2
28,25,880,1.2
28,30,880,1.2
